Date;Bullish;Neutral
3-16-00;50,0%;23,3%
3-23-00;65,7%;14,3%
3-30-00;38,9%;11,1%
4-6-00;45,8%;33,3%
4-13-00;51,9%;18,5%
4-20-00;63,7%;13,7%
4-27-00;61,3%;24,2%
5-4-00;34,8%;30,4%
5-11-00;30,2%;44,2%
5-18-00;35,3%;23,5%
5-25-00;34,9%;28,6%
6-1-00;41,7%;20,8%
6-8-00;61,5%;15,4%
6-15-00;43,8%;37,5%
6-22-00;26,7%;33,3%
7-6-00;56,1%;28,1%
7-13-00;65,0%;15,0%
7-20-00;66,7%;21,3%
7-27-00;42,9%;37,1%
8-3-00;41,3%;34,8%
8-10-00;54,1%;34,4%
8-17-00;59,4%;21,9%
8-23-00;57,7%;19,2%
8-31-00;55,9%;26,5%
9-7-00;62,5%;29,2%
9-14-00;41,2%;35,3%
9-21-00;43,8%;37,5%
9-28-00;53,3%;40,0%
10-5-00;41,9%;32,3%
10-12-00;41,5%;26,8%
10-19-00;48,9%;26,7%
10-26-00;64,1%;18,0%
11-2-00;51,6%;25,8%
11-9-00;62,9%;28,6%
11-16-00;45,8%;37,5%
11-23-00;36,5%;27,0%
11-30-00;60,4%;22,9%
12-7-00;47,1%;15,7%
12-14-00;59,6%;7,7%
12-21-00;31,1%;17,8%
12-28-00;40,0%;28,0%
1-4-01;42,6%;33,3%
1-11-01;35,7%;21,4%
1-18-01;36,6%;39,0%
1-25-01;49,2%;24,6%
2-1-01;50,0%;30,8%
2-8-01;55,6%;30,0%
2-15-01;30,4%;47,8%
2-22-01;26,3%;35,1%
3-1-01;46,0%;20,3%
3-8-01;31,6%;36,7%
3-15-01;30,9%;32,7%
3-22-01;27,8%;25,0%
3-29-01;37,3%;35,3%
4-5-01;35,1%;26,1%
4-12-01;30,3%;28,8%
4-19-01;43,8%;25,0%
4-26-01;46,6%;22,4%
5-3-01;63,5%;14,9%
5-10-01;53,3%;28,9%
5-17-01;51,8%;29,4%
5-24-01;61,9%;21,4%
5-31-01;49,4%;22,1%
6-7-01;42,6%;31,9%
6-14-01;30,5%;47,5%
6-21-01;33,3%;43,3%
6-28-01;30,4%;36,7%
7-5-01;40,7%;40,7%
7-12-01;25,3%;38,5%
7-19-01;50,0%;34,8%
7-26-01;29,5%;32,4%
8-2-01;36,4%;27,3%
8-9-01;34,9%;37,4%
8-16-01;35,4%;27,1%
8-23-01;34,5%;34,5%
8-30-01;31,4%;45,7%
