Date,Open,High,Low,Close,Volume
2017-11-30,2633.9299316406,2657.7399902344,2633.9299316406,2647.580078125,4965700000.0
2017-12-01,2645.1000976562,2650.6201171875,2605.5200195312,2642.2199707031,3950930000.0
2017-12-04,2657.1899414062,2665.1899414062,2639.0300292969,2639.4399414062,4025840000.0
2017-12-05,2639.7800292969,2648.7199707031,2627.7299804688,2629.5700683594,3547570000.0
2017-12-06,2626.2399902344,2634.4099121094,2624.75,2629.2700195312,3253080000.0
2017-12-07,2628.3798828125,2640.9899902344,2626.5300292969,2636.9799804688,3297060000.0
2017-12-08,2646.2099609375,2651.6499023438,2644.1000976562,2651.5,3126750000.0
2017-12-11,2652.1899414062,2660.330078125,2651.4699707031,2659.9899902344,3141480000.0
2017-12-12,2661.7299804688,2669.7199707031,2659.7800292969,2664.1101074219,3568910000.0
2017-12-13,2667.5900878906,2671.8798828125,2662.8500976562,2662.8500976562,3568360000.0
2017-12-14,2665.8701171875,2668.0900878906,2652.0100097656,2652.0100097656,3442760000.0
2017-12-15,2660.6298828125,2679.6298828125,2659.1398925781,2675.8100585938,5736910000.0
2017-12-18,2685.919921875,2694.9699707031,2685.919921875,2690.1599121094,3727770000.0
2017-12-19,2692.7099609375,2694.4399414062,2680.7399902344,2681.4699707031,3407680000.0
2017-12-20,2688.1799316406,2691.0100097656,2676.1101074219,2679.25,3246230000.0
2017-12-21,2683.0200195312,2692.6398925781,2682.3999023438,2684.5700683594,3293130000.0
2017-12-22,2684.2199707031,2685.3500976562,2678.1298828125,2683.3400878906,2401030000.0
2017-12-26,2679.0900878906,2682.7399902344,2677.9599609375,2680.5,1970660000.0
2017-12-27,2682.1000976562,2685.6398925781,2678.9099121094,2682.6201171875,2202900000.0
2017-12-28,2686.1000976562,2687.6599121094,2682.6899414062,2687.5400390625,2174890000.0
2017-12-29,2689.1499023438,2692.1201171875,2673.6101074219,2673.6101074219,2447760000.0
2018-01-02,2683.7299804688,2695.8898925781,2682.3601074219,2695.8100585938,3397430000.0
2018-01-03,2697.8500976562,2714.3701171875,2697.7700195312,2713.0600585938,3544030000.0
2018-01-04,2719.3100585938,2729.2900390625,2719.0700683594,2723.9899902344,3697340000.0
2018-01-05,2731.330078125,2743.4499511719,2727.919921875,2743.1499023438,3239280000.0
2018-01-08,2742.669921875,2748.5100097656,2737.6000976562,2747.7099609375,3246160000.0
2018-01-09,2751.1499023438,2759.1398925781,2747.8601074219,2751.2900390625,3467460000.0
2018-01-10,2745.5500488281,2750.8000488281,2736.0600585938,2748.2299804688,3579900000.0
2018-01-11,2752.9699707031,2767.5600585938,2752.7800292969,2767.5600585938,3645690000.0
2018-01-12,2770.1799316406,2787.8500976562,2769.6398925781,2786.2399902344,3587220000.0
2018-01-16,2798.9599609375,2807.5400390625,2768.6398925781,2776.419921875,4362880000.0
2018-01-17,2784.9899902344,2807.0400390625,2778.3798828125,2802.5600585938,3790340000.0
2018-01-18,2802.3999023438,2805.830078125,2792.5600585938,2798.0300292969,3703300000.0
2018-01-19,2802.6000976562,2810.330078125,2798.080078125,2810.3000488281,3724230000.0
2018-01-22,2809.1599121094,2833.0300292969,2808.1201171875,2832.9699707031,3489480000.0
2018-01-23,2835.0500488281,2842.2399902344,2830.5900878906,2839.1298828125,3541140000.0
2018-01-24,2845.419921875,2852.9699707031,2824.8100585938,2837.5400390625,4079270000.0
2018-01-25,2846.2399902344,2848.5600585938,2830.9399414062,2839.25,3873100000.0
2018-01-26,2847.4799804688,2872.8701171875,2846.1799316406,2872.8701171875,3474680000.0
2018-01-29,2867.2299804688,2870.6201171875,2851.4799804688,2853.5300292969,3587420000.0
2018-01-30,2832.7399902344,2837.75,2818.2700195312,2822.4299316406,4012070000.0
2018-01-31,2832.4099121094,2839.2600097656,2813.0400390625,2823.8100585938,4276270000.0
2018-02-01,2816.4499511719,2835.9599609375,2812.6999511719,2821.9799804688,3977380000.0
2018-02-02,2808.919921875,2808.919921875,2759.9699707031,2762.1298828125,4340220000.0
2018-02-05,2741.0600585938,2763.3898925781,2638.169921875,2648.9399414062,5310840000.0
2018-02-06,2614.7800292969,2701.0400390625,2593.0700683594,2695.1398925781,5917350000.0
2018-02-07,2690.9499511719,2727.669921875,2681.330078125,2681.6599121094,4646300000.0
2018-02-08,2685.0100097656,2685.2700195312,2580.5600585938,2581.0,5333840000.0
2018-02-09,2601.7800292969,2638.669921875,2532.6899414062,2619.5500488281,5690110000.0
2018-02-12,2636.75,2672.6101074219,2622.4499511719,2656.0,4069220000.0
2018-02-13,2646.2700195312,2668.8400878906,2637.080078125,2662.9399414062,3503540000.0
2018-02-14,2651.2099609375,2702.1000976562,2648.8701171875,2698.6298828125,4011940000.0
2018-02-15,2713.4599609375,2731.5100097656,2689.8200683594,2731.1999511719,3696140000.0
2018-02-16,2727.1398925781,2754.419921875,2725.1101074219,2732.2199707031,3646920000.0
